antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"REACT_DRUG_INEFFECTIVE, REACT_INAPPROPRIATE_SCHEDULE_OF_PRODUCT_ADMINISTRATION",SERIOUS_NO,0.00275,0.71979,0.002,0.7272727272727273,1.0103957088494244,1.0,2.0577500000000092e-05,1.0274366666666666,0.01031712208573582,0.0027756960057734475,0.026703997975544246,0.36502565773603163
"REACT_INAPPROPRIATE_SCHEDULE_OF_PRODUCT_ADMINISTRATION, AGE_0_18",SEX_OTHER,0.00273,1.0,0.00273,1.0,1.0,1.0,0.0,inf,0.0,0.0027300000000000002,0.0,0.501365
"REACT_INAPPROPRIATE_SCHEDULE_OF_PRODUCT_ADMINISTRATION, AGE_0_18",SERIOUS_NO,0.00273,0.71979,0.00225,0.8241758241758241,1.1450226096164493,1.0,0.00028497329999999967,1.5936943749999994,0.12700151413358454,0.003123828564288391,0.37252711957397705,0.4136508679500385
"REACT_INAPPROPRIATE_SCHEDULE_OF_PRODUCT_ADMINISTRATION, REACT_PRURITUS",SEX_OTHER,0.00301,1.0,0.00301,1.0,1.0,1.0,0.0,inf,0.0,0.00301,0.0,0.501505
"REACT_INAPPROPRIATE_SCHEDULE_OF_PRODUCT_ADMINISTRATION, REACT_PRURITUS",SERIOUS_NO,0.00301,0.71979,0.00239,0.7940199335548174,1.1031272087064523,1.0,0.0002234321,1.3603743548387102,0.09376847742667772,0.0033175552810205304,0.2649082243846306,0.3986701732265119
DRUG_LENALIDOMIDE,SEX_OTHER,0.01561,1.0,0.01561,1.0,1.0,1.0,0.0,inf,0.0,0.015610000000000002,0.0,0.507805
DRUG_LENALIDOMIDE,SERIOUS_NO,0.01561,0.71979,0.00994,0.6367713004484304,0.8846626105508973,1.0,-0.0012959219000000018,0.7714423456790122,-0.11695245411223444,0.013701651366029827,-0.2962731506783113,0.32529044189956496
DRUG_LENALIDOMIDE,AGE_65PLUS,0.01561,0.22617,0.00923,0.5912876361306855,2.614350427248023,1.0,0.005699486300000001,1.8933364106583073,0.6272877692282489,0.03969038916362072,0.4718318443723886,0.31604882315001354
DRUG_LENALIDOMIDE,SERIOUS_YES,0.01561,0.28021,0.00567,0.3632286995515695,1.296273150678311,1.0,0.0012959218999999992,1.1303744366197181,0.2321820155842578,0.019541616405307598,0.1153373894491025,0.19173176171682896
DRUG_LENALIDOMIDE,AGE_41_65,0.01561,0.25194,0.00322,0.2062780269058296,0.8187585413425006,1.0,-0.0007127833999999995,0.9424710734463276,-0.18358786223130577,0.01218174251882117,-0.061040522276515775,0.10952942386809303
"DRUG_LENALIDOMIDE, SEX_OTHER",SERIOUS_NO,0.01561,0.71979,0.00994,0.6367713004484304,0.8846626105508973,1.0,-0.0012959219000000018,0.7714423456790122,-0.11695245411223444,0.013701651366029827,-0.2962731506783113,0.32529044189956496
"DRUG_LENALIDOMIDE, SERIOUS_NO",SEX_OTHER,0.00994,1.0,0.00994,1.0,1.0,1.0,0.0,inf,0.0,0.00994,0.0,0.50497
DRUG_LENALIDOMIDE,"SEX_OTHER, SERIOUS_NO",0.01561,0.71979,0.00994,0.6367713004484304,0.8846626105508973,1.0,-0.0012959219000000018,0.7714423456790122,-0.11695245411223444,0.013701651366029827,-0.2962731506783113,0.32529044189956496
"DRUG_LENALIDOMIDE, nan",SEX_OTHER,0.00303,1.0,0.00303,1.0,1.0,1.0,0.0,inf,0.0,0.00303,0.0,0.501515
"DRUG_LENALIDOMIDE, REACT_OFF_LABEL_USE",SEX_OTHER,0.00233,1.0,0.00233,1.0,1.0,1.0,0.0,inf,0.0,0.0023300000000000005,0.0,0.501165
"AGE_65PLUS, DRUG_LENALIDOMIDE",SEX_OTHER,0.00923,1.0,0.00923,1.0,1.0,1.0,0.0,inf,0.0,0.00923,0.0,0.504615
"DRUG_LENALIDOMIDE, SEX_OTHER",AGE_65PLUS,0.01561,0.22617,0.00923,0.5912876361306855,2.614350427248023,1.0,0.005699486300000001,1.8933364106583073,0.6272877692282489,0.03969038916362072,0.4718318443723886,0.31604882315001354
DRUG_LENALIDOMIDE,"AGE_65PLUS, SEX_OTHER",0.01561,0.22617,0.00923,0.5912876361306855,2.614350427248023,1.0,0.005699486300000001,1.8933364106583073,0.6272877692282489,0.03969038916362072,0.4718318443723886,0.31604882315001354
"AGE_65PLUS, DRUG_LENALIDOMIDE",SERIOUS_NO,0.00923,0.71979,0.00581,0.6294691224268689,0.8745177377108169,1.0,-0.000833661700000001,0.7562392690058479,-0.12650337204561918,0.008033627853597156,-0.3223328131513191,0.31877046057296987
"DRUG_LENALIDOMIDE, SERIOUS_NO",AGE_65PLUS,0.00994,0.22617,0.00581,0.5845070422535212,2.5843703508578555,1.0,0.0035618702,1.8624383050847464,0.619213536772385,0.025227963525835867,0.4630694626126168,0.3050978417705242
DRUG_LENALIDOMIDE,"AGE_65PLUS, SERIOUS_NO",0.01561,0.14008,0.00581,0.3721973094170403,2.657033905033126,1.0,0.0036233512,1.3697297142857143,0.6335298834077051,0.03876434480918067,0.269928957829845,0.20683680433730373
"DRUG_LENALIDOMIDE, SEX_OTHER",SERIOUS_YES,0.01561,0.28021,0.00567,0.3632286995515695,1.296273150678311,1.0,0.0012959218999999992,1.1303744366197181,0.2321820155842578,0.019541616405307598,0.1153373894491025,0.19173176171682896
"DRUG_LENALIDOMIDE, SERIOUS_YES",SEX_OTHER,0.00567,1.0,0.00567,1.0,1.0,1.0,0.0,inf,0.0,0.00567,0.0,0.502835
DRUG_LENALIDOMIDE,"SERIOUS_YES, SEX_OTHER",0.01561,0.28021,0.00567,0.3632286995515695,1.296273150678311,1.0,0.0012959218999999992,1.1303744366197181,0.2321820155842578,0.019541616405307598,0.1153373894491025,0.19173176171682896
"AGE_65PLUS, DRUG_LENALIDOMIDE",SERIOUS_YES,0.00923,0.28021,0.00342,0.3705308775731311,1.3223328131513188,1.0,0.0008336616999999997,1.1434873838209982,0.24603160268695254,0.011957205789804906,0.12548226228918305,0.19136800471925888
"DRUG_LENALIDOMIDE, SERIOUS_YES",AGE_65PLUS,0.00567,0.22617,0.00342,0.6031746031746031,2.6669080920307873,1.0,0.0021376160999999998,1.9500515999999999,0.6285980985874116,0.014972419227738376,0.4871930568401369,0.30914798602820887
DRUG_LENALIDOMIDE,"AGE_65PLUS, SERIOUS_YES",0.01561,0.08609,0.00342,0.2190903267136451,2.5448986724781633,1.0,0.0020761351,1.170314610336341,0.6166834758415117,0.0347985347985348,0.14552891062976123,0.1294080974955146
"AGE_41_65, DRUG_LENALIDOMIDE",SEX_OTHER,0.00322,1.0,0.00322,1.0,1.0,1.0,0.0,inf,0.0,0.00322,0.0,0.50161
"DRUG_LENALIDOMIDE, SEX_OTHER",AGE_41_65,0.01561,0.25194,0.00322,0.2062780269058296,0.8187585413425006,1.0,-0.0007127833999999995,0.9424710734463276,-0.18358786223130577,0.01218174251882117,-0.061040522276515775,0.10952942386809303
DRUG_LENALIDOMIDE,"AGE_41_65, SEX_OTHER",0.01561,0.25194,0.00322,0.2062780269058296,0.8187585413425006,1.0,-0.0007127833999999995,0.9424710734463276,-0.18358786223130577,0.01218174251882117,-0.061040522276515775,0.10952942386809303
"AGE_41_65, DRUG_LENALIDOMIDE",SERIOUS_NO,0.00322,0.71979,0.00209,0.6490683229813664,0.9017467913993892,1.0,-0.00022772380000000026,0.798474513274336,-0.09853932982950205,0.0028990734062031846,-0.25238812682857015,0.32598597382483624
"DRUG_LENALIDOMIDE, SERIOUS_NO",AGE_41_65,0.00994,0.25194,0.00209,0.21026156941649898,0.8345700143546042,1.0,-0.00041428359999999987,0.9472250191082802,-0.16681381062037623,0.008044959390276761,-0.05571535783693957,0.10927859767959187
SEX_OTHER,SERIOUS_YES,1.0,0.28021,0.28021,0.28021,1.0,1.0,0.0,1.0,0.0,0.28021,0.0,0.640105
SERIOUS_YES,SEX_OTHER,0.28021,1.0,0.28021,1.0,1.0,1.0,0.0,inf,0.0,0.28021,0.0,0.640105
SERIOUS_YES,nan,0.28021,0.35861,0.08603,0.30701973519860104,0.8561382426552552,1.0,-0.014456108100000004,0.9255530533525594,-0.18926650818621676,0.15562871976700016,-0.08043509378287617,0.2734591160865151
nan,SERIOUS_YES,0.35861,0.28021,0.08603,0.23989849697442905,0.8561382426552552,1.0,-0.014456108100000004,0.9469656317411402,-0.20759863541853416,0.15562871976700016,-0.05600453330217281,0.2734591160865151
"SERIOUS_YES, SEX_OTHER",nan,0.28021,0.35861,0.08603,0.30701973519860104,0.8561382426552552,1.0,-0.014456108100000004,0.9255530533525594,-0.18926650818621676,0.15562871976700016,-0.08043509378287617,0.2734591160865151
"SEX_OTHER, nan",SERIOUS_YES,0.35861,0.28021,0.08603,0.23989849697442905,0.8561382426552552,1.0,-0.014456108100000004,0.9469656317411402,-0.20759863541853416,0.15562871976700016,-0.05600453330217281,0.2734591160865151
"SERIOUS_YES, nan",SEX_OTHER,0.08603,1.0,0.08603,1.0,1.0,1.0,0.0,inf,0.0,0.08603,0.0,0.543015
SERIOUS_YES,"SEX_OTHER, nan",0.28021,0.35861,0.08603,0.30701973519860104,0.8561382426552552,1.0,-0.014456108100000004,0.9255530533525594,-0.18926650818621676,0.15562871976700016,-0.08043509378287617,0.2734591160865151
nan,"SERIOUS_YES, SEX_OTHER",0.35861,0.28021,0.08603,0.23989849697442905,0.8561382426552552,1.0,-0.014456108100000004,0.9469656317411402,-0.20759863541853416,0.15562871976700016,-0.05600453330217281,0.2734591160865151
AGE_19_40,SEX_OTHER,0.10331,1.0,0.10331,1.0,1.0,1.0,0.0,inf,0.0,0.10331,0.0,0.551655
AGE_19_40,SERIOUS_YES,0.10331,0.28021,0.02522,0.24411963991869132,0.8712024550112105,1.0,-0.003728495100000003,0.9522538724548597,-0.14153637429432023,0.0703879430644711,-0.05014012431585421,0.16706178277294975
AGE_19_40,SERIOUS_NO,0.10331,0.71979,0.07809,0.7558803600813088,1.0501401243158544,1.0,0.0037284951000000066,1.1478388223632041,0.05324708376935207,0.1048173850015436,0.1287975449887896,0.4321851681621898
AGE_19_40,DRUG_DUPIXENT,0.10331,0.13125,0.02432,0.2354079953537896,1.7935847265050635,1.0,0.010760562500000001,1.1362268958095962,0.49343400688995964,0.11567732115677323,0.11989409537126858,0.21035161672451386
"AGE_19_40, SERIOUS_YES",SEX_OTHER,0.02522,1.0,0.02522,1.0,1.0,1.0,0.0,inf,0.0,0.02522,0.0,0.51261
"AGE_19_40, SEX_OTHER",SERIOUS_YES,0.10331,0.28021,0.02522,0.24411963991869132,0.8712024550112105,1.0,-0.003728495100000003,0.9522538724548597,-0.14153637429432023,0.0703879430644711,-0.05014012431585421,0.16706178277294975
